,n_processo,data_criacao,unidade_origem,assunto,data_instauracao_jad,situacao_jad,data_instauracao_pad,cppad,fase,resultado_do_pad,data_conclusao_pad,proposta_coopad,Atualizado_em,ano_criacao_processo,Ano,ano_conclusao_pad
0,E-03/016/102230/2018,2018-08-31,SEEDUC,ASSÉDIO SEXUAL,,POSITIVO,2021-08-05,2ª CPPAD,FINALIZADO,SUSPENSÃO,2023-07-25,SUSPENSÃO,2025-07-31 08:30:14,2018,2021,2023
1,SEI-04/161/004017/2019,2019-12-18,RIOPREVIDÊNCIA,ACUMULAÇÃO ILÍCITA DE CARGOS,,POSITIVO,2023-12-07,3ª CPPAD,INSTRUÇÃO,,,,2025-07-31 08:30:14,2019,2023,
2,SEI-040161/003143/2020,2020-03-27,RIOPREVIDÊNCIA,ACUMULAÇÃO ILÍCITA DE CARGOS,,POSITIVO,2023-11-27,2ª CPPAD,INSTRUÇÃO,,,,2025-07-31 08:30:14,2020,2023,
3,SEI-150071/000389/2021,2021-08-21,DETRAN-RJ,"SERVIDOR ""FANTASMA""",,POSITIVO,2023-06-27,4ª CPPAD,FINALIZADO,,,SUSPENSÃO,2025-07-31 08:30:14,2021,2023,
4,SEI-030022/005875/2023,2023-05-24,DEGASE,FALTA DE URBANIDADE,2024-01-08,EM ANDAMENTO,,,,,,,2025-07-31 08:30:14,2023,,
5,E-03/004/102071/2018,2018-10-22,SECC,ACUMULAÇÃO ILÍCITA DE CARGOS,2024-05-13,POSITIVO,2024-05-28,3ª CPPAD,INSTRUÇÃO,,,,2025-07-31 08:30:14,2018,2024,
6,E-03/007/4508/2014,2014-09-22,SEEDUC,NÃO PRESTAÇÃO DE CONTAS,,POSITIVO,2021-02-08,2ª CPPAD,FINALIZADO,,,ARQUIVAMENTO,2025-07-31 08:30:14,2014,2021,
7,,,,,,,,,,,,SUSPENSÃO,2025-07-31 08:30:14,,,
8,SEI-080015/000992/2022,2022-08-26,SES,ACUMULAÇÃO ILÍCITA DE CARGOS,,NEGATIVO,,,,,,,2025-07-31 08:30:14,2022,,
9,SEI-030035/004530/2021,2021-08-25,SEEDUC,ACUMULAÇÃO ILÍCITA DE CARGOS,2023-12-06,EM ESPERA,,,,,,,2025-07-31 08:30:14,2021,,
